id;name;state;creator;createdate;modifier;modifierdate;modifiernum;logicdelete;other
1;Data North Dakota;North Carolina Granite;Somalia Web revolutionize;invoice teal analyzing;Fantastic;Ergonomic Rubber Chicken;33655;false;functionalities quantifying
2;wireless;hybrid;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China;quantify multi-byte;99050;true;Cotton Robust
3;user-centric Infrastructure;Managed Dobra application;Fantastic;Liechtenstein Buckinghamshire monetize;Direct;Small Frozen Salad bypassing;35490;false;Quality Applications Missouri
4;Practical Gorgeous;knowledge user Danish Krone;Data neural Wooden;Cambridgeshire Tasty Rubber Car mindshare;Guam bandwidth Liaison;program Auto Loan Account Refined;8410;false;Centralized revolutionize International
5;Sleek;Visionary;exploit transition;User-centric Principal Pennsylvania;repurpose Sleek;mesh system Triple-buffered;33025;false;Bedfordshire Tools
6;Arizona hack;Fresh payment synthesize;Versatile seize;asymmetric EXE;web services;Industrial Designer Incredible Fresh Car;52770;true;Senior Optional Yemeni Rial
7;Central African Republic;magenta heuristic;Credit Card Account Maryland Legacy;Product;Brand Regional Court;B2B Mouse;64684;false;one-to-one Indiana
8;holistic;Architect;Beauty dynamic schemas;Pound Sterling Keyboard;Licensed Usability models;Personal Loan Account markets;93272;true;Aruba Chair portals
9;online Strategist Shirt;navigate redefine;generating bypassing Bypass;Plastic Movies;SMS;Zimbabwe parse Customer;58514;true;Accounts navigating Ergonomic
10;purple User-friendly;Savings Account;SMTP;Checking Account global Steel;Borders Springs connecting;SAS;55190;true;Refined redundant
