id;userid;merchantphoto;name;businessid;state;address;province;city;county;longitude;latitude;concession;rebate;buslicenseimage;jhi_show;creditcode;weight;creator;createdate;modifier;modifierdate;modifiernum;logicdelete;other
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;Home Loan Account;South Albaburgh;Investment Account Steel;29214;97375;36636;23277;Licensed Savings Account;Cambridgeshire Mississippi;HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries;Investment Account;Games Regional Digitized;66252;true;convergence
2;Mayotte;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical;Dougland;back-end;7455;1563;98688;42340;reinvent 24 hour Jewelery;monitor;1080p Checking Account Identity;Frozen IB;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;Frozen bus;76078;true;Robust Networked
3;Poland;Small partnerships;Outdoors;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;Benedicthaven;digital maroon;89255;88328;53934;32434;Fresh granular Direct;Profit-focused;Jewelery cutting-edge;Games;Iraq Bedfordshire;Concrete 24/7 Directives;sky blue;Kenyan Shilling robust;97178;false;Exclusive Moroccan Dirham card
4;zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer;Credit Card Account;navigate;East Monroefort;Point Orchestrator;39882;53577;81643;9028;hacking installation magenta;HDD;Algerian Dinar;firewall;Future-proofed deposit Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;98216;true;Equatorial Guinea Vision-oriented
5;Agent;Human deposit;even-keeled Saint Helena Pound;Internal AI optical;bypassing Marketing;Dynamic Home Loan Account Tools;Branding;Abshireburgh;knowledge user;48561;69189;44842;65196;Devolved driver Networked;Fish;payment calculating;local area network Benin;turn-key dedicated;Wisconsin;target Human withdrawal;dot-com payment Libyan Dinar;86416;false;sensor
6;Alaska;deposit Chips Applications;uniform PCI back up;Tactics architectures Planner;Facilitator Incredible functionalities;compressing;Bedfordshire;South Gloria;calculating Intranet Ergonomic Concrete Soap;67114;99005;35864;14008;Bedfordshire;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek;Borders;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;interfaces;67202;false;Dale
7;Specialist generating;Computers Small Fresh Gloves back-end;interface;compress lavender Investment Account;backing up;Iran;Philippine Peso Metal;Port Wadeport;alliance redundant global;43897;74404;7845;25086;Chips;navigating;Som Rustic Frozen Keyboard ROI;Benin;Tuna Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;hack;1439;false;Small
8;Incredible Fresh Chips;Shoes Music connect;Hollow Shoes systems;Generic Frozen Tuna HTTP;implement;Optimization Cambridgeshire;payment Soap;Port Lucyside;COM;63640;94023;80094;57547;incubate deposit Station;parsing Investment Account;Branding Dynamic black;yellow;Books Generic;robust withdrawal generate;Garden open-source hybrid;Solomon Islands Dollar;34833;true;HTTP system mobile
9;China;quantify multi-byte;interface Cotton Robust;user-centric Infrastructure;Managed Dobra application;Fantastic;Liechtenstein Buckinghamshire monetize;Port Bailey;Small Frozen Salad bypassing;35490;31931;95680;95006;Applications Missouri deposit;Gorgeous Money Market Account;Danish Krone parse;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;bandwidth Liaison;program Auto Loan Account Refined;infomediaries;22257;false;programming panel
10;Avon;Planner;PCI SAS;Interactions;Pennsylvania dynamic bandwidth;navigate Oklahoma;Triple-buffered array;South Deondre;grow;57147;5630;74097;11881;Fresh payment synthesize;Versatile seize;asymmetric EXE;web services;Industrial Designer Incredible Fresh Car;Principal Senior;Paraguay;Sleek Tuna magenta;29449;false;Credit Card Account Maryland Legacy
