id;name;state;creator;createdate;modifier;modifierdate;modifiernum;logicdelete;other
1;indigo National;Expressway;Tools Street;Arkansas reciprocal;Mountain Malaysia supply-chains;Borders hack;10298;false;SDD Mobility
2;didactic Dynamic;schemas Industrial;calculating;withdrawal Toys white;olive;Kids Incredible;79991;true;THX
3;Re-contextualized Licensed;Producer;SAS parsing;Branding Concrete;eco-centric Senior;deposit;73590;false;Music Salad North Carolina
4;circuit Forward;frictionless solution-oriented;distributed Computers;Money Market Account users Guinea;SQL lavender;transmit Wooden COM;48743;true;Squares Table Avon
5;optimal Peru;incentivize purple;navigating Liaison;Corporate Lari;Sports Global Soft;Bedfordshire Awesome Cotton Tuna;49746;true;yellow Games Concrete
6;system-worthy pixel Phased;withdrawal Towels;navigating seize generate;Fantastic Wooden Chips microchip;Generic;Business-focused generate grid-enabled;35567;true;card Home Loan Account Applications
7;invoice Research;Bedfordshire 4th generation Equatorial Guinea;Auto Loan Account;indexing;Savings Account extensible connect;robust;35154;true;Buckinghamshire Nepalese Rupee
8;Forge Licensed;auxiliary;Engineer Toys Fantastic;Licensed;Marketing mobile Cayman Islands Dollar;Computer Uzbekistan;87294;true;invoice calculate feed
9;parsing Triple-buffered;deposit Rand Namibia Dollar;Branding;Handcrafted Rubber Sausages;Towels Mississippi Product;Metal;73102;false;Direct
10;experiences online program;indexing;South Georgia and the South Sandwich Islands;Baby Money Market Account;Connecticut;Unbranded Tugrik;33987;false;streamline Kansas haptic
