id;bigorder;littleorder;merchantid;location;name;state;creator;createdate;modifier;modifierdate;modifiernum;logicdelete;other
1;Pennsylvania dynamic bandwidth;navigate Oklahoma;Triple-buffered array;Bedfordshire Tools;Arizona hack;Fresh payment synthesize;Versatile seize;asymmetric EXE;web services;Industrial Designer Incredible Fresh Car;52770;true;Senior Optional Yemeni Rial
2;Central African Republic;magenta heuristic;Credit Card Account Maryland Legacy;Product;Brand Regional Court;B2B Mouse;Junctions one-to-one;analyzing holistic;Architect;Beauty dynamic schemas;60278;true;Keyboard
3;Licensed Usability models;Personal Loan Account markets;SCSI Aruba Chair;drive online;Liaison engage navigate;Assistant generating;Practical Steel Shirt Plastic Movies;SMS;Zimbabwe parse Customer;input Accounts;84964;false;Multi-channelled
4;Concrete;mission-critical white SMTP;Checking Account global Steel;Borders Springs connecting;SAS;Planner Refined;engage Granite Grocery;bluetooth payment digital;Rubber Industrial seamless;withdrawal Jamaica;9100;true;real-time Berkshire solid state
5;middleware Switzerland;Data Granite Configuration;compress Practical Steel Chips;Berkshire concept;Illinois robust;Granite Rubber;enable;deposit Chicken best-of-breed;RSS Buckinghamshire Officer;teal Licensed Wooden Pants;27859;false;Movies
6;Granite Island;Regional;Bedfordshire;alliance Licensed Plaza;Sleek GB Regional;Home;primary quantify Chips;Guyana;Bedfordshire Auto Loan Account back-end;monitor Small Wooden Ball;13311;true;Internal Buckinghamshire Antarctica (the territory South of 60 deg S)
7;ADP;Hungary Configurable;interface;Toys;overriding;internet solution;Total;Investment Account Indian Rupee;withdrawal Club Nebraska;Nevada quantify architectures;12758;false;viral
8;payment Illinois dot-com;methodology Integration Music;Pants;Avon;blue scalable Car;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh incubate Agent;Jewelery Engineer Bedfordshire;Tanzanian Shilling Assurance Nebraska;Gardens synthesizing;20507;false;orchestration channels Buckinghamshire
9;Bouvet Island (Bouvetoya);Auto Loan Account asymmetric Montana;Applications;Montenegro;frictionless;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;Customer-focused;Shoes Rubber Mall;users scalable;92952;true;parse infrastructures Mobility
10;Implementation Shirt Unbranded Soft Fish;Refined Soft Keyboard synthesizing;indigo Bacon Mouse;Programmable payment National;HDD;Tanzanian Shilling Lights;e-enable Plaza intranet;convergence Idaho customized;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences;33281;true;cross-media Wooden optical
